placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,inv,area,parcela,quadra,nsdist,linha,lo,lodist,recruit,data_morta,altura,altura_1,dap.04,mv.04,data04,am_f4.x,pq_f4.x,obs.04,am_f4.y,pq_f4.y,obs_cic4,c.05,mv.05,obs.05,am_f5,pq_f5,obs_cic5,data_cic5,data05,c.06,mv.06,obs.06,am_f6,pq_f6,obs_cic6,obs_m066,data_cic6,data_m066,data06,dap.07,c.07,mv.07,obs.07,data07,nova_placa.07,c07p,am_f7,pq_f7,caidape_c07p,obs_c07p,data_c07p,dap.08,c.08,mv.08,obs.08,data08,c.09,mv.09,obs_c09,cicat.09,Rec.09,am_f9,pq_f9,obs_cic9,data_cic9,qt_f9,data09,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,mv.22,c.22,obs.22,alt22,data22,equipe.22,dap.24,c.24,mv.24,obs.24,data24,equipe.24
5236,,macarandubinha,Pouram,Pouteria,ramiflora (Mart.) Radlk,Sapotaceae,,0.775625,40,1,B,8,374,16,O,10,i04,2014,25,25,43.3,v,01_09_2004,100,0.4,,100,40,,5,v,,,,,,08_09_2005,4,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,300,90,p,,13_09_2007,44,4,v,,07_08_2008,5,v,,0,0,,,,10_09_2009,,05_08_2009,46.2,5,v,,08_07_2010,46,5,v,,07_09_2011,46.2,5,v,,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5237,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,B,8,351,16,L,5,i04,,24,24,49.7,v,01_09_2004,NQ,,,,,NQ,5,v,,,,,,08_09_2005,5,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,25,70,p,,13_09_2007,50.6,4,v,cr,07_08_2008,4,v,,0,0,,,,10_09_2009,,05_08_2009,51.7,5,v,cr,08_07_2010,51.7,5,v,,07_09_2011,52,5,v,casca solta,12_08_2012,52.4,4,v,,29_07_2014,53,5,v,,29_09_2016,53.6,5,v,,16_07_2018,54.7,v,4,,,15_08_2022,Bate_Luis_Ebis,55.2,4,v,,24_06_2024,Santarem_Nathalia_Maraca
5238,,breu_aroeira,Dacmic,Dacryodes,microcarpa Cuart.,Burseraceae,,0.511666667,40,1,B,8,354,16,L,20,i04,2014,20,20,45,v,01_09_2004,35,0.25,,35,25,,4,v,cq,,,,,08_09_2005,4,v,CR,,,,,,,14_08_2006,,3,v,,18_07_2007,,5,28,90,p,,13_09_2007,45.4,4,v,,07_08_2008,4,v,,0,0,,,,10_09_2009,,05_08_2009,45.5,5,v,cq/cr,08_07_2010,46.4,3,v,,07_09_2011,44.4,4,v,casca solta,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5239,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,40,1,B,8,363,16,L,25,i04,2014,24,24,52.1,v,01_09_2004,40,0.28,,40,28,,3,v,cq,,,,,08_09_2005,4,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,70,100,p,,13_09_2007,53,4,v,,07_08_2008,5,v,,0,0,,,,10_09_2009,,05_08_2009,55.5,5,v,cq,08_07_2010,56.1,4,v,,07_09_2011,44.9,5,v,casca solta,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5240,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,B,8,380,16,L,25,i04,,25,25,62.3,v,01_09_2004,25,0.2,,25,20,,5,v,,,,,,08_09_2005,4,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,22,50,p,,13_09_2007,64.1,4,v,,07_08_2008,5,v,,0,0,,,,10_09_2009,,05_08_2009,58.5,5,v,,08_07_2010,59.1,5,v,,07_09_2011,59.7,3,v,,12_08_2012,61.2,4,v,,29_07_2014,62.8,3,v,,29_09_2016,63.5,4,v,,16_07_2018,64.7,v,4,,,15_08_2022,Bate_Luis_Ebis,65.6,4,v,,24_06_2024,Santarem_Nathalia_Maraca
5241,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,B,8,381,16,L,10,i04,2014,22,22,56,v,01_09_2004,20,0.3,,20,30,,5,v,,,,,,08_09_2005,4,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,22,90,p,,13_09_2007,57,4,v,,07_08_2008,5,v,,1,0.5,,,,10_09_2009,,05_08_2009,59.5,5,v,,08_07_2010,61.5,4,v,casca estufada,07_09_2011,61,5,v,casca solta,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5242,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,40,1,B,8,387,16,O,20,i04,,30,30,76.2,v,01_09_2004,24,0.3,,24,30,,5,v,,,,,,08_09_2005,4,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,5,40,p,,13_09_2007,76.6,4,v,,07_08_2008,4,v,,0,0,,,,10_09_2009,,05_08_2009,77.7,5,v,,08_07_2010,77.5,5,v,,07_09_2011,77.4,5,v,,12_08_2012,78.4,4,v,,29_07_2014,77.3,4,v,,29_09_2016,77.1,3,v,,16_07_2018,77.2,v,5,,,15_08_2022,Bate_Luis_Ebis,77.5,4,v,,24_06_2024,Santarem_Nathalia_Maraca
5243,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,B,8,397,16,L,25,i04,,25,25,74.5,v,01_09_2004,NQ,,,,,NQ,5,v,,,,,,08_09_2005,5,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,40,60,p,,13_09_2007,75.2,4,v,,07_08_2008,5,v,,0,0,,,,10_09_2009,,05_08_2009,76.5,5,v,,08_07_2010,81.2,5,v,,07_09_2011,82.4,5,v,,12_08_2012,83.8,4,v,,29_07_2014,86.2,4,v,,29_09_2016,87,4,v,,16_07_2018,92.2,v,5,,,15_08_2022,Bate_Luis_Ebis,92.7,4,v,,24_06_2024,Santarem_Nathalia_Maraca
5244,,apui_folha_longa,Ficgui,Ficus,americana subsp. guianensis (Desv.) C.C. Berg,Moraceae,,0.415294118,40,1,B,8,399,16,L,7,i04,2011,17,17,43,v,01_09_2004,25,0.25,,25,25,,5,v,,,,,,08_09_2005,3,v,,,,,,,,14_08_2006,,3,v,,18_07_2007,,5,32,90,p,,13_09_2007,41,4,v,,07_08_2008,4,v,,0,0,,,,10_09_2009,,05_08_2009,43.7,3,v,,08_07_2010,,0,m,morta tombada,07_09_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5245,,marupa,Simama,Simarouba,amara Aubl.,Simarubaceae,,,40,1,B,9,428,16,O,20,i04,2022,26,26,43.2,v,01_09_2004,NQ,,,,,NQ,4,v,,,,,,08_09_2005,4,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,20,40,p,,13_09_2007,43.3,4,v,,07_08_2008,5,v,,0,0,,,,10_09_2009,,05_08_2009,44.5,5,v,,08_07_2010,45.9,5,v,,07_09_2011,46.4,5,v,,12_08_2012,49,5,v,,29_07_2014,49.8,4,v,,29_09_2016,50,4,v,cq,16_07_2018,,m,0,morta,,15_08_2022,Bate_Luis_Ebis,,0,m,,23_06_2024,
5246,,louro_canelado,Ococuj,Ocotea,cujumary Mart.,Lauraceae,,0.543571429,40,1,B,10,455,16,O,12,i04,2011,27,27,53.4,v,01_09_2004,15,0.05,,15,5,,4,v,,,,,,08_09_2005,4,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,108,80,p,,13_09_2007,54.4,4,v,,07_08_2008,5,v,,0,0,,,,10_09_2009,,05_08_2009,56.2,4,v,,08_07_2010,,0,m,morta,07_09_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5247,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,40,1,B,10,455,16,L,0.1,i04,2012,22,22,45.1,v,01_09_2004,18,0.35,no meio da trilha,18,35,,4,v,,,,,,08_09_2005,5,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,35,50,p,,13_09_2007,45.1,4,v,,07_08_2008,4,v,,2,1,,,,10_09_2009,,05_08_2009,47.7,5,v,,08_07_2010,48.9,4,v,casca estufada,07_09_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5248,,morototo,Schmor,Didymopanax,morototoni (Aubl.) Decne. & Planch.,Araliaceae,,0.44,40,1,B,10,453,16,L,3,i04,2011,22,22,48,v,01_09_2004,20,0.2,,20,20,,5,v,,,,,,08_09_2005,5,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,140,95,p,,13_09_2007,48,5,v,,07_08_2008,5,v,,0,0,,,,10_09_2009,,05_08_2009,51.3,5,v,,08_07_2010,,0,m,morta,07_09_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5249,,cuiarana,Tertet,Terminalia,tetraphylla (Aublet) Howard,Combretaceae,,0.72,40,1,B,10,456,16,L,16,i04,2014,25,25,55.8,v,01_09_2004,NQ,,,,,NQ,3,v,cq,,,,,08_09_2005,4,v,,,,,,,,14_08_2006,,3,v,,18_07_2007,,5,40,70,p,,13_09_2007,56,3,v,,07_08_2008,4,v,,0,0,,,,10_09_2009,,05_08_2009,57.1,5,v,cq,08_07_2010,57.5,3,v,,07_09_2011,57.4,2,v,,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5250,,breu_sucurubinha,Tragla,Trattinnickia,glaziovii Swart.,Burseraceae,,0.52,40,1,B,10,459,16,L,1.6,i04,2016,25,25,42,v,01_09_2004,15,0.1,,15,10,,5,v,,,,,,08_09_2005,5,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,35,100,p,,13_09_2007,43.4,3,v,,07_08_2008,5,v,,0,0,,,,10_09_2009,,05_08_2009,43.7,5,v,,08_07_2010,44.5,4,v,,07_09_2011,43.9,5,v,,12_08_2012,45,1,v,placa perdida/toco,29_07_2014,,0,m,morta,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5251,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,B,10,469,16,L,5,i04,,24,24,55.7,v,01_09_2004,20,0.3,,20,30,,3,v,,,,,,08_09_2005,4,v,CQ,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,70,100,p,,13_09_2007,56.4,4,v,,07_08_2008,4,v,,3.5,1,,,,10_09_2009,,05_08_2009,58,5,v,cq,08_07_2010,57.2,4,v,sem casca,07_09_2011,57,4,v,,12_08_2012,57.5,4,v,,29_07_2014,57.3,4,v,,29_09_2016,57.7,3,v,cq,16_07_2018,59.5,v,5,,,15_08_2022,Bate_Luis_Ebis,59,4,v,cicatriz no tronco,24_06_2024,Santarem_Nathalia_Maraca
