placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,inv,area,parcela,quadra,nsdist,linha,lo,lodist,recruit,data_morta,altura,altura_1,dap.04,mv.04,data04,am_f4.x,pq_f4.x,obs.04,am_f4.y,pq_f4.y,obs_cic4,c.05,mv.05,obs.05,am_f5,pq_f5,obs_cic5,data_cic5,data05,c.06,mv.06,obs.06,am_f6,pq_f6,obs_cic6,obs_m066,data_cic6,data_m066,data06,dap.07,c.07,mv.07,obs.07,data07,nova_placa.07,c07p,am_f7,pq_f7,caidape_c07p,obs_c07p,data_c07p,dap.08,c.08,mv.08,obs.08,data08,c.09,mv.09,obs_c09,cicat.09,Rec.09,am_f9,pq_f9,obs_cic9,data_cic9,qt_f9,data09,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,mv.22,c.22,obs.22,alt22,data22,equipe.22,dap.24,c.24,mv.24,obs.24,data24,equipe.24
6924,,araracanga,Aspobs,Aspidosperma,obscurinervium Azambuja,Apocynaceae,,,40,1,A,14,657,8,L,10,i04,2011,19,19,43.1,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,44.5,5,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,45.8,4,v,,06_07_2010,,0,m,morta,31_08_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,21_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6925,,macarandubinha,Pouram,Pouteria,ramiflora (Mart.) Radlk,Sapotaceae,,0.775625,40,1,A,14,685,8,L,2,i04,2022,22,22,43,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,43.4,4,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,43.5,5,v,,06_07_2010,43.5,5,v,,31_08_2011,43.6,4,v,,12_08_2012,43.3,4,v,,29_07_2014,43.5,4,v,685m,21_07_2016,44.2,4,v,,16_07_2018,,m,0,morta,,26_07_2022,Ebis_Bate_Darlisson,,0,m,,23_06_2024,
6926,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,15,674,8,O,3,i04,,19,19,57.3,v,21_09_2004,,,,,,,3,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,56.4,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,56.6,5,v,,06_07_2010,57,5,v,,31_08_2011,56.8,5,v,,12_08_2012,56.8,3,v,,29_07_2014,56.1,5,v,674m,21_07_2016,56.8,4,v,,16_07_2018,57.2,v,4,,,26_07_2022,Ebis_Bate_Darlisson,56.8,2,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6927,,cuiarana,Tertet,Terminalia,tetraphylla (Aublet) Howard,Combretaceae,,0.72,40,1,A,14,659,8,L,20,i04,2022,17,17,85.2,v,21_09_2004,,,,,,,3,v,cq,,,,,08_09_2005,3,v,CQ,,,,,,,08_08_2006,,3,v,,13_07_2007,,,,,,,,84.3,1,v,cq,19_08_2008,4,v,,,,,,,,,06_08_2009,86.4,3,v,,06_07_2010,85.7,3,v,,31_08_2011,85.3,2,v,cqcr,12_08_2012,85.4,2,v,cq,29_07_2014,85.3,4,v,659m,21_07_2016,85.3,3,v,,16_07_2018,,m,0,morta,,26_07_2022,Ebis_Bate_Darlisson,,0,m,,23_06_2024,
6928,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,14,652,8,L,11,i04,,20,20,53,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,54.6,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,56.5,5,v,,06_07_2010,55.8,5,v,,31_08_2011,56.1,5,v,,12_08_2012,57.7,5,v,,29_07_2014,59.5,5,v,652m,21_07_2016,61.3,5,v,,16_07_2018,63.9,v,5,,,26_07_2022,Ebis_Bate_Darlisson,65.1,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6929,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,14,658,8,O,16,i04,,21,21,43.6,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,45.9,4,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,48.1,5,v,,06_07_2010,48.5,5,v,,31_08_2011,48.9,3,v,,12_08_2012,49.1,1,v,cq,29_07_2014,49.1,3,v,658m,21_07_2016,49.7,4,v,,16_07_2018,51,v,5,,,26_07_2022,Ebis_Bate_Darlisson,52.2,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6930,,macarandubinha,Pouram,Pouteria,ramiflora (Mart.) Radlk,Sapotaceae,,0.775625,40,1,A,14,650,8,O,19,i04,2022,20,20,41,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,41.2,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,41.3,5,v,,06_07_2010,41.5,5,v,,31_08_2011,42,5,v,,12_08_2012,41.7,4,v,,29_07_2014,41.3,5,v,650m,21_07_2016,42.2,5,v,,16_07_2018,,m,0,morta,,26_07_2022,Ebis_Bate_Darlisson,,0,m,,23_06_2024,
6931,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,13,635,8,O,13,i04,,21,21,40.6,v,21_09_2004,,,,,,,2,v,cq,,,,,08_09_2005,3,v,,,,,,,,08_08_2006,,3,v,,13_07_2007,,,,,,,,40.5,4,v,cq,19_08_2008,2,v,,,,,,,,,06_08_2009,41.4,4,v,cq,06_07_2010,41.5,5,v,,31_08_2011,41.1,4,v,,12_08_2012,42.1,5,v,,29_07_2014,41.7,4,v,635m,21_07_2016,40.8,3,v,,16_07_2018,41.8,v,3,,,26_07_2022,Ebis_Bate_Darlisson,41,3,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6932,,macarandubinha,Pouram,Pouteria,ramiflora (Mart.) Radlk,Sapotaceae,,0.775625,40,1,A,13,623,8,L,10,i04,,22,22,43.2,v,21_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,43.8,4,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,45.2,5,v,,06_07_2010,45.7,5,v,,31_08_2011,45.8,5,v,,12_08_2012,44,5,v,,29_07_2014,43.8,5,v,,21_07_2016,44.5,5,v,,16_07_2018,44.2,v,3,,,26_07_2022,Ebis_Bate_Darlisson,44.3,4,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6933,,breu_sucurubinha,Tragla,Trattinnickia,glaziovii Swart.,Burseraceae,,0.52,40,1,A,13,610,8,O,11,i04,,28,28,47.1,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,48,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,48.7,5,v,,06_07_2010,49,5,v,,31_08_2011,48.8,5,v,,12_08_2012,49,4,v,,29_07_2014,49,4,v,610m,21_07_2016,49.6,4,v,,16_07_2018,50,v,5,,,26_07_2022,Ebis_Bate_Darlisson,50.2,4,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6934,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,13,601,8,O,3,i04,2022,27,27,46.3,v,21_09_2004,,,,,,,3,v,cq,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,46.8,3,v,cq,19_08_2008,4,v,,,,,,,,,06_08_2009,46.5,5,v,,06_07_2010,46.5,5,v,,31_08_2011,46.6,5,v,,12_08_2012,46.5,4,v,,29_07_2014,46.6,3,v,601m,21_07_2016,46.5,4,v,,16_07_2018,,m,0,morta,,26_07_2022,Ebis_Bate_Darlisson,,0,m,,23_06_2024,
6935,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,12,560,8,L,7,i04,2006,26,26,75.7,v,21_09_2004,,,,,,,3,v,,,,,,08_09_2005,0,m,,,,,,,,08_08_2006,,0,m,,13_07_2007,,,,,,,,,0,m,,19_08_2008,0,m,,,,,,,,,06_08_2009,,0,m,m,06_07_2010,,0,m,morta,31_08_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,21_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6936,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,12,583,8,L,6,i04,,25,25,46.5,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,51.2,5,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,53.5,5,v,,06_07_2010,54.1,5,v,,31_08_2011,55.1,5,v,,12_08_2012,58,5,v,,29_07_2014,59.8,5,v,583m,21_07_2016,62.2,5,v,,16_07_2018,63.3,v,5,,,26_07_2022,Ebis_Bate_Darlisson,68.1,5,v,dap ok,24_06_2024,Ebis_Sebastiao_Darlisson
6937,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,40,1,A,12,580,8,O,24,i04,,26,26,62.9,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,64.5,5,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,65.5,5,v,,06_07_2010,66.7,5,v,,31_08_2011,66.5,5,v,,12_08_2012,66.8,5,v,,29_07_2014,67.3,5,v,580m,21_07_2016,68.7,5,v,,16_07_2018,69.7,v,4,,,26_07_2022,Ebis_Bate_Darlisson,70.3,4,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6938,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,12,583,8,O,25,i04,,27,27,52.6,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,55,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,55.1,5,v,,06_07_2010,55.2,5,v,,31_08_2011,55.4,5,v,,12_08_2012,55.6,5,v,,29_07_2014,55.7,5,v,,21_07_2016,55.8,5,v,,16_07_2018,55.8,v,5,,,01_08_2022,,56.1,5,v,,23_06_2024,
6939,,xua,Sacgui,Sacoglottis,guianensis Benth. Var. guianensis,Humiriaceae,,0.84,40,1,A,12,567,8,O,2,i04,,27,27,48.2,v,21_09_2004,,,,,,,4,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,48.3,4,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,49.8,5,v,,06_07_2010,50.2,5,v,,31_08_2011,50.2,5,v,,12_08_2012,51.4,5,v,,29_07_2014,51.8,5,v,567m,21_07_2016,52.9,5,v,,16_07_2018,53.4,v,5,,,26_07_2022,Ebis_Bate_Darlisson,54.4,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6940,,fava_orelha,Entsch,Enterolobium,schomburgkii (Benth.) Benth.,Mimosoideae,,0.72,40,1,A,12,550,8,L,1,i04,,24,24,77.5,v,21_09_2004,,,,,,,4,v,,,,,,08_09_2005,3,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,80,1,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,80.5,5,v,,06_07_2010,78.4,4,v,,31_08_2011,78.2,5,v,,12_08_2012,77.7,3,v,,29_07_2014,78.1,5,v,550m,21_07_2016,78.5,5,v,,16_07_2018,79,v,3,,,26_07_2022,Ebis_Bate_Darlisson,79.5,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6941,,xua,Sacgui,Sacoglottis,guianensis Benth. Var. guianensis,Humiriaceae,,0.84,40,1,A,11,503,8,O,12,i04,2012,20,20,41.4,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,42.6,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,42.9,4,v,,06_07_2010,43,3,v,cqcr,31_08_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,21_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6942,,cuiarana,Tertet,Terminalia,tetraphylla (Aublet) Howard,Combretaceae,,0.72,40,1,A,11,533,8,O,9,i04,,23,23,56.5,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,3,v,cq,13_07_2007,,,,,,,,57.3,4,v,cq,19_08_2008,3,v,,,,,,,,,06_08_2009,58.3,4,v,cq,06_07_2010,56.7,3,v,cqcr,31_08_2011,58.9,2,v,,12_08_2012,60.2,5,v,,29_07_2014,60.7,4,v,533m,21_07_2016,61.5,4,v,,16_07_2018,63,v,5,,,26_07_2022,Ebis_Bate_Darlisson,63.5,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6943,,pau_sangue,Conper,Connarus,perrottetii (DC.) Planch.,Connaraceae,,0.45,40,1,A,11,532,8,O,3,i04,,21,21,45.5,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,46.3,4,v,cr,19_08_2008,5,v,,,,,,,,,06_08_2009,47.2,1,v,cq/cr,06_07_2010,46.8,3,v,cqcr,31_08_2011,46.6,4,v,,12_08_2012,47.6,5,v,,29_07_2014,46.8,4,v,532m,21_07_2016,48.3,1,v,cqcr,16_07_2018,45.6,v,1,,,26_07_2022,Ebis_Bate_Darlisson,44.8,2,v,cqcr,24_06_2024,Ebis_Sebastiao_Darlisson
6944,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,11,525,8,L,3,i04,,25,25,45.4,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,47.6,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,47.7,5,v,,06_07_2010,48.2,5,v,,31_08_2011,48.5,5,v,,12_08_2012,49.5,3,v,,29_07_2014,50.7,5,v,,21_07_2016,51.9,5,v,,16_07_2018,54.8,v,5,,,26_07_2022,Ebis_Bate_Darlisson,55.3,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6945,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,11,522,8,L,6,i04,,27,27,49.6,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,50,5,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,54.1,5,v,,06_07_2010,53.6,5,v,,31_08_2011,53.6,5,v,,12_08_2012,53.6,1,v,cqcr,29_07_2014,52.7,5,v,,21_07_2016,53.6,4,v,cq,16_07_2018,53.7,v,5,nsdist 522 m,,26_07_2022,Ebis_Bate_Darlisson,53.8,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6946,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,11,512,8,L,14,i04,,27,27,53.5,v,21_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,55.4,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,55.8,5,v,,06_07_2010,55.9,5,v,,31_08_2011,56.2,5,v,,12_08_2012,57,5,v,,29_07_2014,58.5,5,v,512m,21_07_2016,58.9,5,v,,16_07_2018,60.8,v,5,,,26_07_2022,Ebis_Bate_Darlisson,61,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6947,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,10,479,8,O,10,i04,,27,27,52.7,v,21_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,52.5,4,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,53.1,4,v,,06_07_2010,53,4,v,,31_08_2011,52.8,5,v,,12_08_2012,53.9,5,v,,29_07_2014,54.3,5,v,,21_07_2016,55.1,4,v,,16_07_2018,56.5,v,4,,,26_07_2022,Ebis_Bate_Darlisson,56.4,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6948,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,9,445,8,L,8,i04,,26,26,45.4,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,47,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,47.8,4,v,,06_07_2010,48.1,5,v,,31_08_2011,48.6,5,v,,12_08_2012,50.8,5,v,,29_07_2014,53.4,5,v,445m,21_07_2016,55.4,5,v,,16_07_2018,56.9,v,4,,,26_07_2022,Ebis_Bate_Darlisson,57.4,4,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6949,,umirim,Humbal,Humiria,balsamifera (aubl.) Pierre,Humiriaceae,,,40,1,A,9,430,8,L,23,i04,2012,18,18,43.3,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,44.7,4,v,,19_08_2008,3,v,,,,,,,,,06_08_2009,45.4,5,v,,06_07_2010,45.5,4,v,,31_08_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,21_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6950,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,9,420,8,L,12,i04,,26,26,44.8,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,43.3,4,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,49.6,5,v,,06_07_2010,49.8,5,v,,31_08_2011,49.9,5,v,,12_08_2012,51.5,5,v,,29_07_2014,53.2,5,v,420m,21_07_2016,54.7,5,v,,16_07_2018,56.7,v,5,,,26_07_2022,Ebis_Bate_Darlisson,57.8,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6951,,umirim,Humbal,Humiria,balsamifera (aubl.) Pierre,Humiriaceae,,,40,1,A,9,435,8,O,2,i04,2014,21,21,59.4,v,21_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,61.8,4,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,63.5,5,v,,06_07_2010,63.4,5,v,,31_08_2011,63.5,5,v,,12_08_2012,,0,m,m,29_07_2014,,0,m,,21_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6952,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,40,1,A,9,420,8,O,20,i04,,26,26,47.9,v,21_09_2004,,,,,,,4,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,49.1,4,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,52.2,5,v,,06_07_2010,50.8,5,v,,31_08_2011,51.1,4,v,,12_08_2012,52.5,5,v,,29_07_2014,53.2,5,v,420m,21_07_2016,54,5,v,,16_07_2018,55.3,v,3,,,26_07_2022,Ebis_Bate_Darlisson,55.4,3,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6953,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,9,402,8,O,5,i04,,27,27,43,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,43.3,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,44,5,v,,06_07_2010,44.5,5,v,,31_08_2011,44.5,4,v,,12_08_2012,45.2,5,v,,29_07_2014,45.4,5,v,402m,21_07_2016,46,5,v,,16_07_2018,46.5,v,5,,,26_07_2022,Ebis_Bate_Darlisson,46.6,4,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6954,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,8,398,8,L,2,i04,,25,25,46.4,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,51.3,5,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,54.5,5,v,,07_07_2010,55,5,v,,31_08_2011,55.6,5,v,,12_08_2012,58.7,5,v,,29_07_2014,60.5,5,v,398m,21_07_2016,62.5,5,v,,16_07_2018,66.6,v,5,,,26_07_2022,Ebis_Bate_Darlisson,68.3,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6955,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,8,388,8,L,25,i04,,30,30,66,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,68.3,5,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,69.5,5,v,,07_07_2010,69.8,5,v,,31_08_2011,70.2,5,v,,12_08_2012,72.4,5,v,,29_07_2014,73.3,5,v,388m,21_07_2016,75.4,5,v,,16_07_2018,79,v,5,,,26_07_2022,Ebis_Bate_Darlisson,81,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6956,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,40,1,A,8,385,8,L,11,i04,,21,21,40.2,v,21_09_2004,,,,,,,4,v,,,,,,08_09_2005,3,v,,,,,,,,08_08_2006,,3,v,,13_07_2007,,,,,,,,40.4,3,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,40,5,v,,07_07_2010,41.5,1,v,,31_08_2011,41.8,2,v,cqcr,12_08_2012,41.4,1,v,cqcr,29_07_2014,41.4,2,v,385m,21_07_2016,41.8,2,v,cqcr,16_07_2018,42.4,v,3,,,26_07_2022,Ebis_Bate_Darlisson,42.7,3,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6957,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,40,1,A,8,369,8,O,13,i04,2016,22,22,41,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,42,4,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,42.8,5,v,,07_07_2010,43.2,5,v,,31_08_2011,43.5,4,v,,12_08_2012,43.8,4,v,,29_07_2014,,0,m,morta,21_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6958,,breu_sucurubinha,Tragla,Trattinnickia,glaziovii Swart.,Burseraceae,,0.52,40,1,A,8,375,8,O,8,i04,2014,23,23,40.8,v,21_09_2004,,,,,,,3,v,cq,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,2,v,cq,13_07_2007,,,,,,,,41,1,v,cq/cr,19_08_2008,1,v,,,,,,,,,06_08_2009,40.8,2,v,,07_07_2010,41.4,1,v,cqcr,31_08_2011,40.8,5,v,,12_08_2012,,0,m,m,29_07_2014,,0,m,,21_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6959,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,40,1,A,8,380,8,L,4,i04,,22,22,46.1,v,21_09_2004,,,,,,,4,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,46.3,3,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,46.5,4,v,,07_07_2010,46.8,5,v,,31_08_2011,47.1,5,v,,12_08_2012,47.2,5,v,,29_07_2014,47.4,5,v,380m,21_07_2016,47.6,4,v,,16_07_2018,48,v,5,,,26_07_2022,Ebis_Bate_Darlisson,47.9,4,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6960,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,8,362,8,L,19,i04,,27,27,87.5,v,21_09_2004,,,,,,,5,v,cr,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,88.7,5,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,89.5,5,v,,07_07_2010,89.4,5,v,,31_08_2011,89,5,v,,12_08_2012,89.9,5,v,,29_07_2014,90.8,5,v,362m,21_07_2016,91.2,5,v,,16_07_2018,93.4,v,5,,,26_07_2022,Ebis_Bate_Darlisson,94.1,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6961,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,8,354,8,L,18,i04,,23,23,47.9,v,21_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,4,v,,13_07_2007,,,,,,,,48.9,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,49.4,5,v,,06_07_2010,49.2,4,v,,31_08_2011,49.2,5,v,,12_08_2012,49.4,5,v,,29_07_2014,49.8,5,v,354m,21_07_2016,50,4,v,,16_07_2018,50.2,v,5,,,26_07_2022,Ebis_Bate_Darlisson,49.9,5,v,,24_06_2024,Ebis_Sebastiao_Darlisson
6962,,jatoba,Hymcou,Hymenaea,courbaril L.,Caesalpinioideae,,0.77,40,1,A,8,355,8,O,13,i04,2024,26,26,70.7,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,70.6,4,v,,19_08_2008,4,v,,,,,,,,,06_08_2009,70.5,4,v,,06_07_2010,71.6,5,v,,31_08_2011,71.4,3,v,,12_08_2012,71.9,5,v,,29_07_2014,71.4,4,v,355m,21_07_2016,71.9,4,v,,16_07_2018,72,v,5,,,26_07_2022,Ebis_Bate_Darlisson,,0,m,morta,24_06_2024,Ebis_Sebastiao_Darlisson
6963,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,7,328,8,L,0.5,i04,,28,28,65.4,v,21_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,13_07_2007,,,,,,,,69.7,4,v,,19_08_2008,5,v,,,,,,,,,06_08_2009,71.7,5,v,,07_07_2010,72.2,5,v,,31_08_2011,73.2,5,v,,12_08_2012,75,5,v,,29_07_2014,75.2,5,v,,21_07_2016,76.7,5,v,,16_07_2018,79,v,5,0.5 cm lado leste,,26_07_2022,Ebis_Bate_Darlisson,80,3,v,"toco, cqcr",24_06_2024,Ebis_Sebastiao_Darlisson
