placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,inv,area,parcela,quadra,nsdist,ns,transecto,metragem,recruit,data_morta,ind.resgate,altura,altura_1,dap.06,c.06,mv.06,obs.06,data06,dap.08,c.08,mv.08,obs.08,data08,c.09,mv.09,cicat.09,recup.09,obs.09,data09,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,c.22,mv.22,obs.22,alt22,data22,equipe.22,dap.24,c.24,mv.24,obs.24,data24,equipe.24
25973,,breu_de_uma_folha,Prouni,Protium,unifoliolatum Engl.,Burseraceae,,0.33,5a10cm,1,A,20,0.8,S,A,232,i10,,resgate10,6.5,6.5,,,,,,,,,,,,,,,,,8,5,v,,19_07_2010,8.5,5,v,,16_08_2011,8.2,5,v,,21_06_2012,9.2,5,v,,12_11_2014,10,4,v,,28_04_2016,10,5,v,alt 6.5,18_06_2018,10.8,5,v,,,08_06_2022,Bate_Ebis_Leo,10.8,5,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
25974,,envira_folha_peluda,Xylfru,Xylopia,frutescens Aubl.Var ferruginea R. E. Fries,Annonaceae,,0.59,5a10cm,1,A,20,0.5,S,A,234.1,i10,2014,resgate10,,,,,,,,,,,,,,,,,,,8.3,5,v,,19_07_2010,8.7,5,v,,17_08_2011,9.3,5,v,,21_06_2012,,0,m,morta/cr tronco,12_11_2014,,0,m,morta,28_04_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25975,,breu_folha_peluda,Propil,Protium,pilosissimum Engl.,Burseraceae,,0.71,5a10cm,1,A,20,1.1,S,A,235.1,i10,,resgate10,7,7,,,,,,,,,,,,,,,,,7.2,5,v,,19_07_2010,7.3,5,v,,17_08_2011,7.1,4,v,,21_06_2012,8.3,5,v,,12_11_2014,8.4,5,v,,11_05_2016,8.9,4,v,alt 7,18_06_2018,10.1,5,v,,,08_06_2022,Bate_Ebis_Leo,10.6,5,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
25976,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,5a10cm,1,A,20,1.1,S,A,240.2,i10,,resgate10,12,12,,,,,,,,,,,,,,,,,8.5,3,v,,19_07_2010,9.3,4,v,,17_08_2011,10.1,3,v,,21_06_2012,11.5,5,v,,12_11_2014,12.7,4,v,,11_05_2016,13.7,5,v,alt 12,18_06_2018,15,4,v,,,08_06_2022,Bate_Ebis_Leo,15.8,5,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
25978,,pau_sangue,Conper,Connarus,perrottetii (DC.) Planch.,Connaraceae,,0.45,5a10cm,1,A,20,1.1,S,A,241.2,i10,,resgate10,10,10,,,,,,,,,,,,,,,,,11.7,5,v,,19_07_2010,12.4,4,v,,17_08_2011,13.3,5,v,,21_06_2012,14.2,5,v,,12_11_2014,14.8,5,v,,11_05_2016,16,5,v,alt 10,18_06_2018,17.5,5,v,,,08_06_2022,Bate_Ebis_Leo,18.5,5,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
25979,,ucuuba_da_terra_firme,Virseb,Virola,sebifera Aubl.,Myristicaeae,,,5a10cm,1,A,20,1.7,S,A,242.5,i10,,resgate10,10,10,,,,,,,,,,,,,,,,,8.4,5,v,,19_07_2010,8.7,4,v,,17_08_2011,8.8,5,v,,21_06_2012,8.9,5,v,,12_11_2014,8.9,4,v,,11_05_2016,9,4,v,alt 10,18_06_2018,9.2,3,v,,,08_06_2022,Bate_Ebis_Leo,9.3,3,v,cqcr,29_05_2024,Santarem_Darlisson_Bate_Ebis
25980,,urucurana,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,5a10cm,1,A,20,1.5,S,A,242.9,i10,2012,resgate10,,,,,,,,,,,,,,,,,,,11.2,1,v,,19_07_2010,10,1,v,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,11_05_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25981,,louro_tamanco,Neccus,Nectandra,cuspidata Nees. & Mart.,Lauraceae,,0.56,5a10cm,1,A,20,1.8,S,A,249.1,i10,2011,resgate10,,,,,,,,,,,,,,,,,,,9,4,v,cq/cr,19_07_2010,,0,m,morta,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,11_05_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25982,,louro_tamanco,Neccus,Nectandra,cuspidata Nees. & Mart.,Lauraceae,,0.56,5a10cm,1,A,20,1.8,S,A,249.1,i10,2011,resgate10,,,,,,,,,,,,,,,,,,,6.1,3,v,,19_07_2010,,0,m,morta,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,11_05_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25983,,xua,Sacgui,Sacoglottis,guianensis Benth. Var. guianensis,Humiriaceae,,0.84,5a10cm,1,A,22,1,S,A,254,i10,,resgate10,7.5,7.5,,,,,,,,,,,,,,,,,5.5,2,v,,19_07_2010,5.6,4,v,,17_08_2011,5.8,4,v,,21_06_2012,6.6,5,v,,12_11_2014,6.9,5,v,,11_05_2016,7.4,5,v,alt 7.5,18_06_2018,8.2,4,v,,,08_06_2022,Bate_Ebis_Leo,8.7,5,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
